BC1	BC2	cluster
Y15	X17	C7
Y24	X14	C7
Y24	X13	C7
Y18	X16	C7
Y17	X14	C7
Y11	X13	C7
Y20	X13	C7
Y14	X21	C7
Y3	X14	C7
Y7	X11	C7
Y18	X19	C7
Y14	X17	C7
Y7	X6	C7
Y8	X10	C7
Y8	X14	C7
Y22	X13	C7
Y21	X10	C7
Y15	X13	C4
Y2	X17	C7
Y4	X12	C7
Y21	X16	C7
Y2	X15	C7
Y21	X18	C7
Y15	X4	C7
Y5	X14	C7
Y14	X2	C7
Y7	X5	C7
Y16	X12	C7
Y21	X14	C4
Y17	X18	C7
Y24	X3	C7
Y6	X13	C7
Y23	X24	C7
Y15	X6	C7
Y16	X10	C7
Y21	X3	C7
Y3	X12	C7
Y4	X11	C4
Y24	X5	C7
Y21	X6	C7
Y3	X15	C7
Y18	X7	C7
Y16	X24	C7
Y20	X1	C7
Y11	X4	C7
Y24	X20	C7
Y2	X10	C7
Y5	X13	C4
Y18	X17	C5
Y17	X10	C7
Y23	X2	C7
Y22	X10	C7
Y1	X17	C7
Y15	X14	C5
Y23	X6	C7
Y9	X4	C7
Y23	X18	C7
Y15	X2	C4
Y21	X4	C7
Y21	X1	C7
Y1	X11	C4
Y18	X13	C5
Y20	X6	C7
Y19	X21	C7
Y24	X22	C7
Y23	X3	C7
Y23	X1	C7
Y9	X24	C7
Y23	X16	C7
Y9	X21	C7
Y19	X24	C7
Y22	X2	C7
Y5	X15	C7
Y22	X6	C7
Y20	X5	C7
Y9	X7	C4
Y1	X12	C4
Y18	X3	C4
Y15	X15	C5
Y16	X2	C7
Y17	X2	C7
Y24	X7	C7
Y17	X17	C4
Y14	X13	C5
Y23	X13	C5
Y6	X15	C7
Y2	X2	C7
Y23	X23	C7
Y18	X24	C5
Y20	X14	C5
Y20	X7	C7
Y2	X1	C7
Y16	X6	C7
Y19	X20	C7
Y19	X22	C7
Y1	X21	C7
Y14	X7	C7
Y16	X22	C7
Y2	X3	C7
Y12	X10	C7
Y22	X18	C7
Y14	X15	C5
Y5	X21	C7
Y23	X5	C4
Y3	X7	C7
Y2	X5	C7
Y8	X3	C7
Y16	X1	C7
Y24	X9	C7
Y11	X16	C7
Y21	X17	C5
Y14	X11	C5
Y14	X22	C4
Y15	X21	C5
Y19	X6	C7
Y9	X11	C5
Y2	X14	C5
Y12	X5	C7
Y4	X6	C7
Y9	X22	C7
Y18	X12	C5
Y18	X22	C5
Y14	X18	C5
Y21	X13	C5
Y1	X18	C7
Y17	X23	C7
Y2	X24	C7
Y20	X4	C4
Y4	X13	C5
Y18	X6	C5
Y18	X15	C2
Y18	X2	C5
Y11	X1	C7
Y8	X2	C7
Y8	X1	C7
Y22	X22	C7
Y1	X5	C7
Y19	X11	C5
Y15	X16	C5
Y19	X13	C5
Y11	X17	C5
Y4	X1	C7
Y21	X21	C5
Y24	X2	C4
Y5	X1	C7
Y22	X20	C7
Y22	X4	C7
Y22	X11	C5
Y11	X10	C5
Y15	X12	C5
Y17	X11	C5
Y8	X23	C7
Y7	X4	C7
Y17	X7	C7
Y5	X6	C7
Y7	X20	C7
Y12	X13	C5
Y14	X16	C5
Y16	X11	C5
Y8	X20	C7
Y15	X24	C5
Y23	X12	C5
Y21	X15	C3
Y17	X3	C4
Y12	X23	C7
Y2	X11	C5
Y18	X4	C5
Y8	X13	C5
Y1	X3	C7
Y5	X23	C7
Y7	X9	C7
Y8	X7	C7
Y16	X7	C7
Y21	X12	C5
Y14	X24	C5
Y23	X17	C5
Y14	X10	C5
Y2	X7	C7
Y16	X9	C7
Y17	X5	C4
Y7	X14	C5
Y8	X17	C5
Y9	X17	C5
Y3	X6	C4
Y7	X19	C7
Y5	X4	C7
Y22	X7	C7
Y1	X23	C7
Y12	X22	C7
Y17	X12	C5
Y16	X18	C5
Y11	X21	C5
Y20	X10	C5
Y20	X15	C5
Y21	X11	C2
Y24	X11	C2
Y6	X2	C7
Y2	X9	C7
Y7	X1	C7
Y4	X16	C4
Y6	X17	C4
Y11	X5	C5
Y15	X1	C5
Y4	X14	C5
Y1	X13	C5
Y12	X4	C7
Y9	X13	C3
Y6	X3	C7
Y6	X22	C7
Y5	X19	C7
Y21	X24	C5
Y22	X17	C5
Y19	X12	C5
Y15	X22	C5
Y7	X10	C5
Y9	X18	C4
Y2	X21	C4
Y8	X16	C4
Y7	X12	C5
Y14	X4	C4
Y5	X7	C7
Y19	X10	C5
Y11	X18	C5
Y15	X18	C2
Y8	X19	C7
Y22	X5	C4
Y6	X23	C7
Y19	X9	C7
Y15	X3	C3
Y9	X9	C5
Y6	X6	C7
Y11	X15	C5
Y12	X17	C5
Y15	X19	C5
Y20	X24	C3
Y12	X7	C7
Y19	X15	C3
Y23	X15	C3
Y19	X14	C2
Y15	X11	C2
Y6	X14	C5
Y5	X20	C4
Y14	X6	C5
Y18	X9	C5
Y2	X12	C5
Y5	X17	C5
Y14	X5	C5
Y23	X21	C5
Y20	X17	C2
Y20	X21	C2
Y18	X21	C6
Y4	X18	C5
Y6	X12	C5
Y3	X21	C5
Y24	X4	C5
Y5	X11	C6
Y12	X1	C7
Y12	X6	C6
Y3	X5	C4
Y20	X20	C5
Y17	X24	C5
Y14	X19	C5
Y14	X23	C3
Y18	X23	C2
Y19	X2	C5
Y4	X21	C5
Y8	X18	C5
Y11	X3	C3
Y3	X10	C2
Y12	X9	C7
Y22	X21	C5
Y23	X20	C5
Y14	X20	C2
Y16	X3	C5
Y17	X4	C4
Y3	X16	C5
Y6	X10	C5
Y7	X15	C5
Y9	X15	C5
Y2	X18	C5
Y21	X7	C4
Y5	X12	C3
Y7	X17	C2
Y6	X4	C7
Y4	X5	C5
Y8	X4	C5
Y9	X2	C5
Y2	X6	C3
Y20	X22	C5
Y12	X15	C5
Y16	X20	C5
Y23	X11	C6
Y16	X13	C2
Y17	X1	C5
Y9	X23	C5
Y5	X18	C5
Y4	X22	C4
Y1	X15	C3
Y8	X15	C5
Y15	X9	C3
Y1	X24	C3
Y11	X7	C3
Y20	X2	C2
Y19	X23	C4
Y21	X19	C3
Y11	X19	C3
Y22	X15	C2
Y19	X18	C3
Y18	X14	C1
Y11	X24	C2
Y24	X12	C6
Y3	X19	C4
Y7	X18	C5
Y8	X24	C5
Y3	X20	C5
Y6	X24	C5
Y9	X20	C5
Y17	X6	C3
Y21	X9	C3
Y23	X7	C3
Y7	X24	C5
Y23	X4	C3
Y22	X16	C5
Y20	X19	C3
Y11	X20	C5
Y12	X24	C3
Y6	X9	C7
Y7	X2	C5
Y1	X2	C5
Y1	X6	C3
Y9	X6	C3
Y14	X12	C6
Y19	X7	C5
Y2	X22	C3
Y5	X16	C5
Y22	X1	C3
Y16	X4	C5
Y5	X24	C3
Y8	X11	C8
Y2	X13	C6
Y17	X19	C5
Y12	X11	C6
Y16	X16	C2
Y23	X14	C8
Y9	X5	C3
Y7	X7	C3
Y4	X4	C3
Y12	X2	C5
Y6	X21	C5
Y20	X9	C5
Y8	X22	C5
Y2	X23	C3
Y7	X22	C3
Y5	X22	C3
Y6	X18	C3
Y12	X3	C3
Y7	X16	C2
Y20	X3	C2
Y4	X10	C8
Y22	X23	C5
Y16	X23	C3
Y12	X21	C2
Y24	X15	C8
Y11	X11	C8
Y19	X16	C2
Y12	X16	C2
Y20	X18	C6
Y18	X20	C8
Y3	X9	C5
Y1	X4	C3
Y9	X1	C3
Y5	X5	C3
Y8	X5	C8
Y1	X22	C3
Y24	X1	C6
Y1	X10	C6
Y12	X20	C3
Y14	X14	C1
Y16	X21	C6
Y22	X14	C8
Y15	X20	C8
Y6	X1	C3
Y2	X19	C5
Y19	X3	C2
Y22	X19	C3
Y11	X12	C8
Y24	X21	C8
Y16	X15	C8
Y15	X23	C8
Y6	X5	C3
Y1	X7	C3
Y8	X9	C3
Y1	X1	C3
Y3	X3	C6
Y22	X9	C3
Y7	X13	C1
Y14	X1	C6
Y15	X5	C8
Y18	X11	C1
Y11	X14	C1
Y16	X17	C1
Y20	X16	C8
Y24	X16	C8
Y17	X22	C2
Y11	X22	C6
Y12	X18	C6
Y20	X23	C6
Y24	X23	C6
Y11	X23	C6
Y8	X6	C6
Y6	X19	C3
Y6	X16	C2
Y1	X14	C1
Y5	X10	C6
Y4	X17	C8
Y9	X16	C6
Y3	X24	C8
Y22	X3	C6
Y12	X14	C1
Y24	X19	C6
Y17	X13	C1
Y5	X3	C6
Y4	X3	C6
Y18	X1	C1
Y2	X20	C6
Y11	X9	C6
Y19	X4	C6
Y4	X20	C6
Y7	X21	C8
Y24	X17	C1
Y17	X20	C8
Y24	X18	C1
Y4	X7	C6
Y7	X3	C8
Y8	X12	C1
Y8	X21	C1
Y3	X17	C1
Y15	X7	C1
Y1	X20	C6
Y4	X15	C8
Y1	X16	C6
Y9	X19	C6
Y7	X23	C8
Y6	X11	C1
Y4	X24	C1
Y1	X19	C6
Y4	X23	C8
Y18	X18	C1
Y16	X14	C1
Y16	X19	C8
Y23	X19	C1
Y17	X16	C1
Y4	X2	C1
Y3	X2	C1
Y5	X9	C6
Y6	X7	C6
Y9	X14	C1
Y11	X2	C1
Y21	X2	C1
Y17	X9	C8
Y3	X18	C1
Y20	X12	C1
Y23	X22	C1
Y5	X2	C1
Y4	X9	C1
Y3	X4	C1
Y19	X5	C1
Y14	X9	C1
Y23	X9	C1
Y4	X19	C1
Y20	X11	C1
Y15	X10	C1
Y12	X12	C1
